Fecha,Aceites lubricantes,Asfalto,Bunker,Ceras,Combustible turbo jet,Diesel bajo azufre,Diesel ultra bajo azufre,Gas licuado petroleo,Gasolina aviacion,Gasolina regular,Gasolina superior,Grasas lubricantes,Kerosina,Mezclas oleosas,Naftas,PetCoke,Petróleo crudo,Solventes,Butano,Diesel alto azufre,Orimulsion,Total,Anio
2006-01-01,0.0,26454.21,271228.13,0.0,45851.0,0.0,0.0,217867.309523809,1307.0,211152.72,382078.88,0.0,7111.6,0.0,0.0,98549.0,38294.0,0.0,0.0,750946.36,163706.0,2214546.20952381,2006
2006-02-01,0.0,33494.0,228414.98,0.0,43198.9,0.0,0.0,212328.607142857,1735.0,200551.4,367944.25,0.0,6390.9,0.0,0.0,101057.0,43150.0,0.0,0.0,734530.76,152377.0,2125172.79714286,2006
2006-03-01,0.0,48745.0,338067.89,0.0,45311.9,0.0,0.0,232405.357142857,1585.0,233082.86,427567.58,0.0,7416.6,0.0,0.0,82582.5,29621.0,0.0,0.0,875047.29,151247.0,2472679.97714286,2006
2006-04-01,0.0,36478.0,445994.72,0.0,44322.2,0.0,0.0,207612.269047619,1497.0,223479.45,392050.29,0.0,8600.5,0.0,0.0,89331.0,59859.0,0.0,0.0,711185.23,29039.0,2249448.65904762,2006
2006-05-01,0.0,40882.0,628053.53,0.0,44047.1,0.0,0.0,232489.833333333,1400.0,222710.9,379832.55,0.0,6151.3,0.0,0.0,96222.5,29498.0,0.0,0.0,734289.15,0.0,2415576.86333333,2006
2006-06-01,0.0,22806.0,399380.67,0.0,42531.9,0.0,0.0,236563.828571429,1362.0,196511.22,364359.35,0.0,3720.3,0.0,0.0,101684.0,30854.0,0.0,0.0,672428.87,0.0,2072202.13857143,2006
2006-07-01,0.0,34461.58,408695.2,0.0,43381.8,0.0,0.0,239767.854761905,1552.0,210255.7,392252.91,0.0,6128.6,0.0,0.0,97361.0,59117.27,0.0,0.0,684438.7,0.0,2177412.6147619,2006
2006-08-01,0.0,29068.07,412953.69,0.0,44489.5,0.0,0.0,245672.016666667,1942.0,211202.14,394585.28,0.0,7918.7,0.0,0.0,89875.5,42171.03,0.0,0.0,707219.69,1471.0,2188568.61666667,2006
2006-09-01,0.0,22311.3,283514.35,0.0,37449.2,0.0,0.0,256040.102380952,1576.0,204369.99,382724.97,0.0,6691.2,0.0,0.0,111782.0,39823.1,0.0,0.0,650791.38,0.0,1997073.59238095,2006
2006-10-01,0.0,25204.67,464238.85,0.0,37891.8,0.0,0.0,238514.633333333,1845.0,203061.39,400793.81,0.0,7884.2,0.0,0.0,48735.5,28499.79,0.0,0.0,683543.13,0.0,2140212.77333333,2006
2006-11-01,0.0,36772.97,523491.3,0.0,40998.5,0.0,0.0,228417.438095238,1618.91,205541.91,401922.57,0.0,7669.5,0.0,0.0,109186.0,21777.27,0.0,0.0,739181.99,0.0,2316578.35809524,2006
2006-12-01,0.0,27047.99,384849.54,0.0,51753.6,0.0,0.0,236333.111904762,1959.0,233936.83,454373.13,0.0,9049.5,0.0,0.0,110896.5,34342.7,0.0,0.0,776330.26,0.0,2320872.16190476,2006
2007-01-01,0.0,36112.06,481365.9,0.0,47659.2,0.0,0.0,217344.655952381,1657.0,216560.79,418412.86,0.0,9659.8,0.0,0.0,118327.0,55217.79,0.0,0.0,810372.66,0.0,2412689.71595238,2007
2007-02-01,0.0,35844.96,441178.9,0.0,42101.8,0.0,0.0,211149.360714286,1606.0,204991.91,401425.14,0.0,5162.4,0.0,0.0,89353.0,38218.66,0.0,0.0,799394.6,0.0,2270426.73071429,2007
2007-03-01,0.0,47101.77,537373.86,0.0,54082.4,0.0,0.0,264115.983333333,1665.0,239019.91,454731.09,0.0,7526.9,0.0,0.0,101887.5,57660.84,0.0,0.0,956680.19,0.0,2721845.44333333,2007
2007-04-01,0.0,38731.92,480634.06,0.0,44957.1,0.0,0.0,224818.876190476,1550.0,217536.23,403732.56,0.0,7512.6,0.0,0.0,91234.0,46865.77,0.0,0.0,758988.58,0.0,2316561.69619048,2007
2007-05-01,0.0,44730.69,624648.8,0.0,46178.5,0.0,0.0,259749.480952381,1458.0,224400.73,426414.71,0.0,11518.6,0.0,0.0,78331.0,47491.42,0.0,0.0,811703.69,0.0,2576625.62095238,2007
2007-06-01,0.0,25509.9,666096.2,0.0,46459.4,0.0,0.0,244505.283333333,908.0,217473.91,390991.36,0.0,14318.3,0.0,0.0,83270.0,36586.8,0.0,0.0,720896.77,0.0,2447015.92333333,2007
2007-07-01,0.0,41652.9,680178.9,0.0,55620.5,0.0,0.0,261555.621428571,1381.0,219874.23,416497.41,0.0,11812.2,0.0,0.0,99957.0,66993.71,0.0,0.0,721550.61,0.0,2577074.08142857,2007
2007-08-01,0.0,32132.95,529257.62,0.0,50337.0,0.0,0.0,267634.121428571,1571.0,236565.57,411088.53,0.0,16179.4,0.0,0.0,117265.5,36100.5,0.0,0.0,736620.9,0.0,2434753.09142857,2007
2007-09-01,0.0,21666.59,374139.35,0.0,46392.8,0.0,0.0,254081.758571429,1243.0,207241.84,390568.99,0.0,9016.5,0.0,0.0,101530.0,48278.98,0.0,0.0,669587.88,0.0,2123747.68857143,2007
2007-10-01,0.0,23741.47,384625.95,0.0,50839.9,0.0,0.0,264936.659523809,1284.0,224750.77,419001.81,0.0,13724.2,0.0,0.0,105314.0,22628.56,0.0,0.0,738702.86,0.0,2249550.17952381,2007
