Fecha,Aceites lubricantes,Asfalto ,Bunker,Ceras,Combustible turbo jet,Diesel bajo azufre,Diesel ultra bajo azufre,Gas licuado petroleo,Gasolina aviacion,Gasolina regular,Gasolina superior,Grasas lubricantes,Kerosina,Mezclas oleosas,Naftas,Petcoke,Petroleo crudo,Solventes,Butano,Diesel alto azufre,MTBE,Orimulsion,Petroleo reconstituido,Total,Anio
2008-06-01,0.0,8087.0,257332.45,0.0,0.0,0.0,0.0,135630.476190476,190.5,177838.7,273398.73,0.0,73918.8,0.0,0.0,0.0,0.0,0.0,0.0,817804.84,0.0,0.0,0.0,1744201.49619048,2008
2008-07-01,0.0,9947.0,549352.9,0.0,0.0,0.0,0.0,365117.619047619,190.5,232129.2,384549.7,0.0,50621.0,0.0,0.0,150155.5,0.0,0.0,0.0,541486.15,0.0,0.0,0.0,2283549.56904762,2008
2008-08-01,0.0,4575.2,512005.35,0.0,0.0,0.0,0.0,124909.190476191,171.4,138376.72,241881.47,0.0,61346.3,0.0,0.0,148500.0,0.0,0.0,0.0,713650.52,0.0,0.0,0.0,1945416.15047619,2008
2008-09-01,0.0,2631.0,265932.42,0.0,0.0,0.0,0.0,290330.738095238,1178.6,290621.26,423244.17,0.0,31940.5,0.0,0.0,149060.89,0.0,0.0,0.0,544521.54,0.0,0.0,0.0,1999461.11809524,2008
2008-10-01,0.0,7436.1,193916.4,0.0,0.0,0.0,0.0,515833.095238095,3273.7,358036.44,329762.3,0.0,81679.0,0.0,0.0,0.0,0.0,0.0,0.0,344273.02,0.0,0.0,0.0,1834210.0552381,2008
2008-11-01,0.0,4910.9,467765.33,0.0,0.0,0.0,0.0,304780.714285714,190.5,170365.32,386365.05,0.0,40478.6,0.0,0.0,0.0,0.0,0.0,0.0,809439.42,0.0,0.0,0.0,2184295.83428571,2008
2008-12-01,0.0,1132.0,321373.52,0.0,0.0,0.0,0.0,265854.166666667,3380.0,238398.92,458949.42,0.0,32909.5,0.0,0.0,0.0,0.0,0.0,0.0,524038.42,0.0,0.0,0.0,1846035.94666667,2008
2009-01-01,0.0,4814.0,462619.815238095,0.0,0.0,0.0,0.0,440807.214295714,285.7,202484.534761905,382300.56,0.0,51282.7,0.0,0.0,165846.175,0.0,0.0,0.0,941535.71,0.0,0.0,0.0,2651976.40929571,2009
2009-02-01,0.0,6513.0,316669.93,0.0,0.0,0.0,0.0,308898.19147619,187.7,588346.36,522820.81,0.0,60857.2,0.0,0.0,0.0,0.0,0.0,0.0,914059.4,0.0,0.0,0.0,2718352.59147619,2009
2009-03-01,0.0,5116.0,249980.94,0.0,0.0,0.0,0.0,116357.429571429,2925.0,298459.25,626630.99,0.0,56965.6,0.0,0.0,0.0,0.0,0.0,0.0,893473.8,0.0,0.0,0.0,2249909.00957143,2009
